transect,bsand,dtoeSWL,bberm
1,0.060566941,3,0.25
1,0.084961,3,0.25
1,0.060566941,3,0.14
1,0.084961,3,0.14
1,0.060566941,2,0.25
1,0.084961,2,0.25
1,0.060566941,2,0.14
1,0.084961,2,0.14
1,0.060566941,4,0.25
1,0.084961,4,0.25
1,0.060566941,4,0.14
1,0.084961,4,0.14
2,0.037265529,3,0.25
2,0.05586186,3,0.25
2,0.037265529,3,0.14
2,0.05586186,3,0.14
2,0.037265529,2,0.25
2,0.05586186,2,0.25
2,0.037265529,2,0.14
2,0.05586186,2,0.14
2,0.037265529,4,0.25
2,0.05586186,4,0.25
2,0.037265529,4,0.14
2,0.05586186,4,0.14
3,0.02,3,0.25
3,0.028,3,0.25
3,0.02,3,0.14
3,0.028,3,0.14
3,0.02,2,0.25
3,0.028,2,0.25
3,0.02,2,0.14
3,0.028,2,0.14
3,0.02,4,0.25
3,0.028,4,0.25
3,0.02,4,0.14
3,0.028,4,0.14
